id,name,dob,height(m),weight(kg),sport,country,num_followers,num_articles,personal_best,event,coach_id
a_000187,Matthew Taylor,1999-09-16,1.81,74,shooting,Russia,5584,90,37.0,shotgun,c_001768
a_000207,Joanna Harrison,2009-07-03,1.5,70,shooting,Canada,45,98,22.0,pistol,c_001937
a_000285,Michael Frederick,1998-07-14,1.65,55,boxing,USA,6561,37,62.0,light heavyweight,c_001090
a_000056,Laurie Serrano,1990-07-24,1.7,56,track,Germany,3385,94,99.78,long distance,c_001025
a_000047,April Johnson,2003-09-06,1.64,80,track,Russia,5201,82,93.36,hurdles,c_001149
a_000144,Anthony Singh,1989-11-14,1.95,82,rowing,Australia,4190,36,70.69,sweeping,c_001521
a_000354,Gregory Owens,1992-05-02,1.53,64,surfing,UK,7794,100,19.0,shortboard,c_000721
a_000386,Sarah Parrish,2000-05-25,1.52,87,decathlon,China,6240,14,22.0,high jump,c_000799
a_000328,Jeremiah Poole,1989-05-19,1.72,61,karate,UK,3633,69,73.0,kumite,c_001075
a_000180,Luis Watson,2003-03-08,1.82,89,shooting,ChInA,1183,56,21.0,rifle,c_001678
a_000285,Michael Frederick,1998-07-14,1.65,55,boxing,USA,6561,37,62.0,featherweight,c_001159
a_000379,Cristina Ball,1989-07-04,1.96,88,sport climbing,Italy,6818,22,27.06,lead,c_000062
a_000275,Charles Klein,1989-06-08,1.63,56,boxing,Russia,3136,48,59.0,welterweight,c_001855
a_000321,Cameron King,1997-12-19,1.7,53,karate,China,1002,34,91.0,kata,c_001930
a_000098,Mr. Craig Faulkner DVM,2006-02-02,1.63,87,cycling,Canada,1820,80,24.01,mountain,c_001301
a_000021,Gregory Drake,1994-04-12,1.93,81,swimming,ITALy,3212,21,59.51,medley,c_000706
a_000182,Julie Holt,2004-09-19,1.88,78,shooting,UK,9200,54,46.0,rifle,c_000506
a_000232,Robert Collins MD,2007-02-19,1.64,78,weightlifting,Australia,6801,43,256.0,clean and jerk,c_000679
a_000195,Tammy Rose,1997-03-06,1.79,53,shooting,USA,5200,99,89.0,pistol,c_001302
